title,price,old_price,category,description
"Cooler CPU Corsair Hydro H100i, RGB Platinum, 2 x 120mm",685.99,718.99,Coolere CPU,"LGA 1156 (H) : Da,LGA 1155 (H2) : Da,LGA 2011 (R) : Da,LGA 1150 : Da,LGA 1151 : Da,LGA 2011-v3 : Da,AM2 : Da,AM3 : Da,AM4 : Da,AMD TR4 : Da,Mod De Racire : Lichid,LED : RGB,Viteza (RPM) : 400 - 2400,Acustic (dBA) : 37,Flux maxim de aer (CFM) : 75,Presiunea maxima a aerului (mm H2O) : 4.2,Conector : 4 pini,Numar ventilatoare : 2,Dimensiunea ventilatorului (L x l x G)(mm) : 277 x 120 x 27"
"Cooler Scythe NINJA 5 SCNJ-5000, 2 x 120mm ",340.99,,Coolere CPU,"LGA 775 (T) : Da,LGA 1156 (H) : Da,LGA 1366 (B) : Da,LGA 1155 (H2) : Da,LGA 2011 (R) : Da,LGA 1150 : Da,LGA 1151 : Da,LGA 2011-v3 : Da,AM2 : Da,AM2+ : Da,AM3 : Da,AM3+ : Da,FM1 : Da,FM2 : Da,FM2+ : Da,Material : Baza: Cupru | Aripile de radiatie: Aluminiu,Heatpipe-uri : 6,Dimensiunea heatpipe-urilor (mm) : 6,Mod De Racire : Aer,Viteza (RPM) : 800,Acustic (dBA) : 4.0 - 14.5,Flux maxim de aer (CFM) : 16.6 - 43.03,Conector : 4 pini,Numar ventilatoare : 2,Dimensiunea ventilatorului (L x l x G)(mm) : 130 x 155 x 130,Inaltime (mm) : 155"
"Placa de baza GIGABYTE B450 GAMING X, AMD B450, AM4, DDR4, ATX ",379,,Placi de baza,"Socket : AM4,Chipset : AMD B450,CPU Suportat : AMD AM4 Socket Ryzen Series CPUs,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2933+(OC)/2667/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x1,Detalii sloturi grafice : 1x PCI-Express 2.0 (x16) | 1x PCI-Express 3.0 (x16),Slot PCI-E x4 : x1,Slot PCI-E x1 : x2,Audio : Incorporata,Codec : Realtek ALC892,Canale : HD 7.1,Placa de retea : Integrata,Controller : Realtek GbE,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x1,Port-uri USB 2.0 : x4,Port-uri USB 3.0 : x4,HDMI : x1,DVI : x1,RJ 45 : x1,Audio Jack : x6,PS/2 : x1,Format : ATX"
"Placa de baza ASRock B450M PRO4-F, AMD B450, AM4, mATX",338.99,399,Placi de baza,"Socket : AM4,Chipset : AMD B450,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 3200+(OC) / 2933/2667/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x2,Detalii sloturi grafice : x1 (16x mode) | x1 (4x mode),CrossFireX : AMD Quad CrossFireX™ | CrossFireX™,Slot PCI-E x1 : x1,Audio : Incorporata,Codec : Realtek ALC892,Canale : HD 7.1,Placa de retea : Integrata,Controller : Realtek RTL8111GR,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x4,Porturi M.2 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x4,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x2,Format : microATX,Dimensiuni (L x l) (cm) : 24.4 x 24.4"
"Placa de baza ASRock A320M-HDV R4.0, AMD A320, AMD AM4, DDR4, mATX ",245.99,,Placi de baza,"Socket : AM4,Chipset : AMD A320,CPU Suportat : AMD Socket AM4 A-Series APUs (Bristol Ridge) | Ryzen Series CPUs (Summit Ridge),Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 3200+(OC)/2933(OC)/2800(OC)/2400(OC)/2133 MHz,Socluri RAM : x2,RAM maxim : 32 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x1,Detalii sloturi grafice : 1 (x16),Slot PCI-E x1 : x1,Audio : Incorporata,Codec : Realtek ALC887,Canale : HD 7.1,Placa de retea : Integrata,Controller : Realtek RTL8111H,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x4,Porturi M.2 : x1,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x4,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x1,Format : microATX"
"Mouse Optic Gaming Riotoro Uruz Z5, RGB, USB (Negru)",137.99,,Mouse,"Polling Rate : 1000 Hz,Conectare : Wired,Tehnologie : Optic,Iluminare : RGB,Scroll : Da,Butoane : 6,Interfata : USB,Rezolutie (DPI) : 4000,Culoare : Negru"
"Mouse Optic Gaming Riotoro Uruz Z5 Lightning, RGB, USB (Negru) ",137.99,,Mouse,"Senzor : Optic,Polling Rate : 1000 Hz,Conectare : Wired,Tehnologie : Optic,Iluminare : RGB,Scroll : Da,Butoane : 6,Interfata : USB,Rezolutie (DPI) : 4000,Culoare : Negru"
"Carcasa Deepcool Matrexx 70, Mid Tower, RGB (Negru)",443.99,,Carcase,"Tip : Mid Tower,Pozitionare sursa : Jos,Sursa : Fara sursa,mITX : Da,mATX : Da,ATX : Da,E-ATX : Da,Dimensiuni (cm) : 47.5x22.5x49.5,Greutate (kg) : 9.3,Culoare : Negru,Panou lateral transparent : Da, Tempered Glass,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x6,Sloturi expansiune : x7 + 2,Altele : Iluminare RGB,Lungimea maxima a placii video (mm) : 380,Inaltime maxima cooler CPU (mm) : 140,USB 2.0 : x2,USB 3.0 : x1,Audio : x1,Microfon : x1,In fata : 3x 120mm RGB LED,In spate : 1 x 120 mm,In fata : 2 x 140mm,Deasupra/Tavan : 3 x 120/140 mm"
"Carcasa Deepcool Matrexx 70, Mid Tower (Negru) ",289.99,,Carcase,"Tip : Mid Tower,Pozitionare sursa : Jos,Sursa : Fara sursa,mITX : Da,mATX : Da,ATX : Da,E-ATX : Da,Dimensiuni (cm) : 47.5x22.5x49.5,Greutate (kg) : 8.82,Culoare : Negru,Panou lateral transparent : Da, Tempered Glass,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x6,Sloturi expansiune : x7 + 2,Lungimea maxima a placii video (mm) : 380,Inaltime maxima cooler CPU (mm) : 140,USB 2.0 : x2,USB 3.0 : x1,Audio : x1,Microfon : x1,In spate : 1 x 120 mm,In fata : 3 x 120/140 mm,Deasupra/Tavan : 3 x 120/140 mm"
"Carcasa Riotoro CR488, Mid Tower (Negru) ",235.99,,Carcase,"Tip : Mid Tower,Pozitionare sursa : Jos,Sursa : Fara sursa,mITX : Da,mATX : Da,ATX : Da,Dimensiuni (cm) : 49.2 x 25.0 x 42.3,Greutate (kg) : 5.2,Culoare : Negru,Panou lateral transparent : Da,Slot HDD intern 3.5&quot; : x3,Slot HDD intern 2.5&quot; : x2,Lungimea maxima a placii video (mm) : 415,Inaltime maxima cooler CPU (mm) : 165,USB 3.0 : x2,Audio : x1,In fata : 1 x 120 mm LED rosu,Deasupra/Tavan : 1 x 120 mm,In fata : 1 x 120/140 mm,Deasupra/Tavan : 2 x 120/140 mm,Jos/Podea : 1 x 120 mm"
"Placa de baza ASRock J4005M, Intel J4005, DDR4, mATX",365.99,,Placi de baza,"Chipset : Intel J4005,CPU Suportat : CPU integrat Intel J4005,Familie procesor : Intel Pentium,Model : J4005,Nuclee : 2 (Dual-Core),Frecventa standard : 2700 Mhz,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2400/2133 MHz,Socluri RAM : x2,RAM maxim : 8 GB,Slot grafic : PCI-Express 2.0,Numar slot-uri grafice : x1,Detalii sloturi grafice : 1 (x1),Video OnBoard : Da,Model placa video : Intel UHD Graphics 600,Slot PCI-E x1 : x2,Audio : Incorporata,Codec : Realtek ALC887,Canale : HD 7.1,Placa de retea : Integrata,Controller : Realtek 8111E,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x2,Port serial : x1,Port paralel : x1,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,PS/2 : x2,Format : microATX"
"Placa de baza ASRock H310CM-HDV, Intel H310, DDR4, LGA1151 v2, mATX ",286.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel H310,CPU Suportat : Supports 8th & 9th Generation Intel® Core™ Processor,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x2,RAM maxim : 32 GB,Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x2,Detalii sloturi grafice : 1 (x16),Slot PCI-E x1 : x1,Audio : Incorporata,Codec : Realtek ALC887,Canale : HD 7.1,Placa de retea : Integrata,Controller : Realtek RTL8111H,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x4,Port-uri USB 2.0 : x4,Port-uri USB 3.0 : x2,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x1,Format : microATX"
"Placa de baza ASRock B365M PRO4, Intel B365, LGA 1151 v2, mATX",406.99,,Placi de baza,"Socket : LGA 1151,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 2 (x16 / x4),Configuratie Multi-GPU : Supports AMD Quad CrossFireX™ and CrossFireX™,Slot PCI-E x1 : x1,Audio : Incorporata,Codec : Realtek ALC892,Canale : 7.1,Placa de retea : Integrata,Controller : Intel I219V,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x4,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x5,PS/2 : x1,Format : microATX"
"Placa de baza GIGABYTE AORUS B365 M ELITE, Intel B365, LGA 1151 v2, mATX ",454.99,,Placi de baza,"Socket : LGA 1151,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 2 (x16 / x4),Configuratie Multi-GPU : Supports AMD Quad CrossFireX™ and CrossFireX™,Slot PCI-E x1 : x1,Audio : Incorporata,Codec : Realtek ALC892,Canale : 7.1,Placa de retea : Integrata,Controller : Intel GbE,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x3,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,DVI : x1,RJ 45 : x1,Audio Jack : x5,PS/2 : x1,Format : microATX"
"Placa de baza GIGABYTE B365 DS3H, Intel B365, LGA 1151 v2, mATX ",349,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 2 (x16 / x4),Configuratie Multi-GPU : Supports AMD Quad CrossFireX™ and CrossFireX™,Slot PCI-E x1 : x1,Audio : Incorporata,Codec : Realtek ALC887,Canale : 7.1,Placa de retea : Integrata,Controller : Intel GbE,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x1,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x4,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x1,Format : microATX"
"Placa de baza ASRock B365 PRO4, Intel B365, LGA 1151 v2, ATX ",418.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 2 (x16 / x4),Configuratie Multi-GPU : Supports AMD Quad CrossFireX™ and CrossFireX™,Slot PCI-E x1 : x2,Audio : Incorporata,Codec : Realtek ALC892,Canale : 7.1,Placa de retea : Integrata,Controller : Intel I219V,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x5,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x1,Format : ATX"
"Placa de baza ASUS PRIME B365M-A, Intel B365, LGA 1151 v2, mATX",428.99,,Placi de baza,"Socket : LGA 1151,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 1 (x16),Slot PCI-E x1 : x2,Audio : Incorporata,Codec : Realtek ALC887,Canale : 7.1,Placa de retea : Integrata,Controller : Realtek RTL8111H,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 3.0 : x4,Port-uri USB 3.1 (Type-C) : x1,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x2,Format : microATX"
"Placa de baza ASRock B365M PHANTOM GAMING 4, Intel B365, LGA 1151 v2, mATX ",433.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 2 (x16 / x4),Configuratie Multi-GPU : Supports AMD Quad CrossFireX™ and CrossFireX™,Slot PCI-E x1 : x1,Audio : Incorporata,Codec : Realtek ALC1200,Canale : 7.1,Placa de retea : Integrata,Controller : Intel I219V,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x4,Port-uri USB 3.1 (Type-C) : x1,Iesire optica : Da,HDMI : x1,DisplayPort : x1,RJ 45 : x1,Audio Jack : x5,PS/2 : x1,Format : microATX"
"Placa de baza ASUS PRIME B365-PLUS, Intel B365, LGA 1151 v2, ATX ",446.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 2 (x16 / x4),Configuratie Multi-GPU : 2-Way AMD CrossFire,Slot PCI-E x1 : x4,Audio : Incorporata,Codec : Realtek ALC887,Canale : 7.1,Placa de retea : Integrata,Controller : Realtek RTL8111H,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x4,HDMI : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x1,Format : ATX"
Casti cu fir Sony MDR-E9LPL (Alb-Roz),36.05,,Casti - Microfoane,"Structura : Earbud,Conectare : Wired,Interfata : Jack de 3.5 mm,Lungimea cablului (m) : 1.2,Stil : In-the-ear,Diametru (mm) : 13.5,Sensibilitate (dBPa/V) : 104,Frecventa : 18 Hz - 22 kHz,Tip magnet : Neodimium,Impedanta (Ohm) : 16,Microfon : Nu,Sunet stereo : Da,Culoare : Alb/Roz"
Casti cu fir Sony MDR-E9LPL (Alb-Gri),38.93,,Casti - Microfoane,"Structura : Earbud,Conectare : Wired,Interfata : Jack de 3.5 mm,Lungimea cablului (m) : 1.2,Stil : In-the-ear,Diametru (mm) : 13.5,Sensibilitate (dBPa/V) : 104,Frecventa : 18 Hz - 22 kHz,Tip magnet : Neodimium,Impedanta (Ohm) : 16,Microfon : Nu,Sunet stereo : Da,Culoare : Alb/Gri"
"Carcasa Riotoro Morpheus, Full Tower",671.99,899.99,Carcase,"Tip : Full Tower,Pozitionare sursa : Sus,Sursa : Fara sursa,mITX : Da,mATX : Da,ATX : Da,E-ATX : Da,Dimensiuni (cm) : 465 x 276 x 385,Greutate (kg) : 13,Culoare : Negru,Slot HDD intern 3.5&quot; : x2,Slot HDD intern 2.5&quot; : x4,Sloturi expansiune : x8,Lungimea maxima a placii video (mm) : 300,Inaltime maxima cooler CPU (mm) : 122,USB 3.0 : x1,USB 3.1 : x2 (Type-C),Audio : x2,In fata : 2 x 120 mm LED Rosu,In spate : 1 x 80 mm,In fata : 2 x 120mm / 1 x 200mm,Deasupra/Tavan : 2 x 120/140 mm,Jos/Podea : 2 x 120/140 mm"
"UPS SilverCloud PNI-SCP850, 850VA/600W, 2 x Schuko",600,,UPS,"Interfata (port comunicare) : USB,Putere intrare (VA) : 850,Putere Iesire (W) : 600,Tensiune alimentare (V) : 140 ~ 280VAC +/-2%,Eficienta : 95 %,Frecventa : 50/ 60 Hz,Unda de iesire : Sinusoida pura,Culoare : Negru,Tipuri protectie : Supraincarcare / baterie slaba / scurtcircuit / supraincalzire,Prize Schuko : x2,Specificatii acumulator : 30A - 200A"
"Memorie G.Skill Trident Z RGB (For AMD), 2x16GB, DDR4, 3200MHz ",747.99,,Memorii,"Seria : TridentZ Series,Tip RAM : DDR4,Capacitate : 16GB (2x8GB),Frecventa : 3200MHz,Latenta CAS : CL 16,Voltaj : 1.35V,Suporta : XMP 2.0,Altele : Iluminare RGB"
"Memorie Team Group Vulcan Z Grey, DDR4, 2x8Gb, 3200MHz, CL16 ",332.99,,Memorii,"Seria : Vulcan Z,Tip RAM : DDR4,Capacitate : 16GB (2x8GB),Frecventa : 3200MHz,Latenta CAS : CL 16,Voltaj : 1.35V,Radiator : Da,Suporta : XMP 2.0"
"Memorii Corsair VENGEANCE LPX, 32GB, DDR4, 3200Mhz, CL16",629.99,,Memorii,"Tip RAM : DDR4,Capacitate : 32GB (2x16GB),Frecventa : 3200MHz,Latenta/Timing : 16-20-20-38,Latenta CAS : CL 16,Voltaj : 1.35V,Radiator : Vengeance LPX Black Heat,Suporta : XMP 2.0"
"Stick USB Corsair Voyager GTX CMFVYGTX3B, 128GB, USB 3.0 (Negru)",322.99,339.99,Stick USB,"Capacitate : 128GB,Compatibilitate : USB 3.0,Altele : Viteza maxima citire (ATTO): 450MB/s| Viteza maxima scriere (ATTO): 360MB/s| Viteza maxima citire (CDM): 430MB/s| Viteza maxima scriere (CDM): 190MB/s,Greutate (g) : 52,Culoare : Negru"
"Stick USB GOODRAM UTS3, 8GB, USB 3.0 (Negru)",26.4,,Stick USB,"Capacitate : 8GB,Compatibilitate : USB 3.0,Dimensiuni (LxlxG) : 57.1 x 19.3 x 10.7 mm,Greutate (g) : 15,Culoare : Negru"
"Stick USB GOODRAM UTS3, 32GB, USB 3.0 (Negru)",54.99,,Stick USB,"Capacitate : 32GB,Compatibilitate : USB 3.0,Dimensiuni (LxlxG) : 57.1 x 19.3 x 10.7 mm,Greutate (g) : 15,Culoare : Negru"
"Stick USB GOODRAM UMM3, 32GB, USB 3.0 (Negru)",27.4,29.28,Stick USB,"Capacitate : 32GB,Compatibilitate : USB 3.0,Viteza de transfer : 60 MB/s Citire | 20 MB/s Scriere,Dimensiuni (LxlxG) : 56 x 19.1 x 9.5 mm,Greutate (g) : 8,Culoare : Negru"
"Placa de baza ASUS PRIME B365-K, Intel B365, LGA 1151 v2, mATX",369.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 1 (x16),Slot PCI-E x1 : x2,Audio : Incorporata,Codec : Realtek ALC887,Canale : 7.1,Placa de retea : Integrata,Controller : Realtek RTL8111H,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x1,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x4,DisplayPort : x1,DVI : x1,VGA : x1,RJ 45 : x1,Audio Jack : x3,PS/2 : x2,Format : microATX"
"Placa de baza ASRock B365 PHANTOM GAMING 4, Intel B365, LGA 1151 v2, ATX",499.99,,Placi de baza,"Socket : LGA 1151 v2,Chipset : Intel B365,CPU Suportat : Intel 9th/8th Generation Core i7/i5/i3/Pentium/Celeron,Memorii suportate : DDR4,Dual Channel : Da,Frecventa memorie : 2666/2400/2133 MHz,Socluri RAM : x4,RAM maxim : 64 GB,Slot grafic : PCI-Express 3.0,Detalii sloturi grafice : 2 (x16 / x4),Configuratie Multi-GPU : Supports AMD Quad CrossFireX™ and CrossFireX™,Slot PCI-E x1 : x2,Audio : Incorporata,Codec : Realtek ALC1200,Canale : 7.1,Placa de retea : Integrata,Controller : Intel I219V,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x6,Porturi M.2 : x2,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x4,Port-uri USB 3.1 (Type-A) : x1,Port-uri USB 3.1 (Type-C) : x1,Iesire optica : Da,HDMI : x1,DisplayPort : x1,RJ 45 : x1,Audio Jack : x5,PS/2 : x1,Format : ATX"
"Placa de baza Gigabyte X299-WU8, Intel X299, LGA 2066, CEB",2099.99,,Placi de baza,"Socket : LGA 2066,Chipset : Intel X299,CPU Suportat : Intel® Core™ X-Series Processor,Memorii suportate : DDR4,Tip memorie : DIMM,Dual Channel : Da,Quad Channel : Da,Frecventa memorie : 4000(O.C.) / 3866(O.C.) / 3800(O.C.) / 3733(O.C.) / 3666(O.C.) / 3600(O.C.) / 3466(O.C.) / 3400(O.C.) / 3333(O.C.) / 3300(O.C.) / 3200(O.C.) / 3000(O.C.) / 2800(O.C.) / 2666 / 2400 / 2133 MHz,Socluri RAM : x8,RAM maxim : 128 GB,Tehnologii : XMP (Intel eXtreme Memory Profile),Slot grafic : PCI-Express 3.0,Numar slot-uri grafice : x7,SLI : Support for NVIDIA® Quad-GPU SLI™ and 4-Way/3-Way/2-Way NVIDIA® SLI™ technologies,CrossFireX : Support for AMD Quad-GPU CrossFire™ and 4-Way/3-Way/2-Way AMD CrossFire™ technologies,Audio : Incorporata,Codec : Realtek® ALC1220-VB,Canale : HD 7.1,Placa de retea : Integrata,Controller : Intel GbE,Tip : Single,Viteza : Gigabit LAN 10 / 100 / 1000 Mb/s,Port-uri SATA III 600 : x8,Porturi M.2 : x1,Port-uri USB 2.0 : x2,Port-uri USB 3.0 : x6,Port-uri USB 3.1 (Type-A) : x1,Port-uri USB 3.1 (Type-C) : x1,Iesire optica : Da,DisplayPort : x2,RJ 45 : x2,Audio Jack : x5,PS/2 : x1,EATX (24 pini) : Da,EPS12V (8 pini) : Da,ATX12V (4 pini) : Da,Format : CEB,Dimensiuni (L x l) (cm) : 30.5 x 24.4"
Mouse Logitech Optic Wireless M325 (Argintiu),147.99,,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,MicroSoft : Windows XP | Windows Vista | Windows 7(cu exceptia Windows XP pe 64 de biti),Apple : Mac OS X 10.5 +,Culoare : Gri,Design : Argintiu cu negru"
"Memorie Corsair Vengeance LPX 64GB, DDR4, 3000MHz, CL16, 1.35V",1288.99,,Memorii,"Tip RAM : DDR4,Capacitate : 64GB (4x16GB),Frecventa : 3000MHz,Latenta/Timing : 16-20-20-38,Latenta CAS : CL 16,Voltaj : 1.35V,Radiator : Vengeance LPX Black Heat,Suporta : XMP 2.0"
"Sursa Deepcool DA600-M, 600W, Full Modulara",299.99,,Surse,"Tip : ATX,Putere : 600W,Ventilator : 1 x 120mm,Ventilator silentios : Da,Detalii ventilator : Ventilator controlat in functie de temperatura,Modulara : Full Modulara,OVP (Over Voltage Protection) : Da,SCP (Short Circuit Protection) : Da,OPP (Over Power Protection) : Da,UVP (Under-Voltage Protection) : Da,+12V1 : 46A,24-Pin (MotherBoard) : x1,8-Pin (PCI Express) : x1 (6+2 Pin),SATA : x5,4-Pin (Molex) : x3,Dimensiuni (L x l x I) (cm) : 15 x 14 x 8.7"
"Stick USB Silicon Power Blaze B02, 128GB, USB 3.1 (Negru) ",66.99,,Stick USB,"Capacitate : 128GB,Compatibilitate : USB 3.1,Windows : Windows XP | Windows Vista | Windows 7| Windows 8| Windows 8.1 | Windows 10,Apple : 10.3.x sau superior,Linux : Linux 2.6.x sau superior,Dimensiuni (LxlxG) : 18 x 60.6 x 8.1,Culoare : Negru"
"Tastatura Gaming Marvo KG959G, Mecanica, Iluminata RGB, USB (Negru)",129,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wired,Interfata tastatura : USB,Tastatura Gaming : Da,Numar taste : 104,Iluminata : Da,Culoare LED : RGB,Culoare : Negru"
"Boxe 2.1 Genesis Helium 610BT, 60W RMS",329.99,349,Boxe,"Compatibilitate : Compatibil cu majoritatea dispozitivelor cu jack 3.5 mm,Configuratie : 2.1,Frecventa : 40 - 20000 Hz,Wireless : Nu,Subwoofer : 30,Satelit : 2 x 15 W,Totala : 60W,Culoare : Negru"
"Carcasa Genesis Irid 400, ARGB",361.99,449,Carcase,"Sursa : nu; compatibila cu ATX (instalare in podea, max. 190 mm),Compatibilitate : placi de baza,Bay 5.25inch : -,Bay 3.5inch : x2,Bay 2.5inch : x4,Sloturi expansiune : 7,Porturi I/O : 2x USB 3.0, 2x USB 2.0, HD Audio (casti + microfon),Dimensiuni (WxHxD) : 216 x 469 x 450 mm,Greutate : 8.6 kg,Altele : telecomanda inclusa, panouri din sticla securizata,Ventilatoare fata : 3x 120 mm (standard, iluminare ARGB) sau 2x 140 mm (optional),Ventilatoare spate : 1x 120 mm (standard, iluminare ARGB) sau 1x 140 mm (optional),Ventilatoare tavan : 2x 140 mm (optional),Ventilatoare podea : -,Ventilatoare lateral : -"
"Kit Corsair VENGEANCE RGB PRO Light Enhancement, DDR4, destinat utilizarii estetice (Negru)",194.99,,Memorii,"Tip RAM : DDR4,Altele : Iluminare RGB Aceste module nu con?in memorie DRAM ?i sunt destinate doar utiliz?rii estetice"
