title,price,old_price,category,description
Cooler CPU CoolerMaster X Dream i117,42.67,58.99,Coolere CPU,"Material : Baza: Aluminiu | Aripile de radiatie: Aluminiu,Mod De Racire : Aer,Tip (Bearing) : Rifle,LED : Fara,Viteza (RPM) : 1800RPM &plusmn;10%,Acustic (dBA) : 19,Flux maxim de aer (CFM) : 36.5,Presiunea maxima a aerului (mm H2O) : 1.55,Conector : 3 pini,Dimensiuni totale (L x l x H)(mm) : 94 x 93 x 44,Greutate (kg) : 0.370"
Sursa Inter-Tech Energon 650W (modulara),219.99,,Surse,"Tip : ATX,Putere : 650W,Ventilator : 1 x 140 mm,PFC : Activ,Protectie : OVP (Over Voltage Protection) | OCP (Over Current Protection) | SCP (Short Circuit Protection),Modulara : Semi-Modulara,Rail-uri +12V : 4,+12V1 : 18A,+12V2 : 18A,+12V3 : 18A,+12V4 : 18A,8-Pin (PCI Express) : x1 (6+2 Pin),SATA : x4,4-Pin (Molex) : x2,4-Pin (Floppy) : x1"
Sursa Inter-Tech Energon 750W (modulara),270.99,,Surse,"Tip : ATX,Putere : 750W,Ventilator : 1 x 140 mm,PFC : Activ,Protectie : OVP (Over Voltage Protection) | OCP (Over Current Protection) | SCP (Short Circuit Protection),Modulara : Semi-Modulara,Rail-uri +12V : 4,+12V1 : 20A,+12V2 : 20A,+12V3 : 20A,+12V4 : 20A,24-Pin (MotherBoard) : x1 (20+4 Pin),8(4+4)-Pin (CPU 12V) : x1,8-Pin (PCI Express) : x2 (6+2 Pin),SATA : x8,4-Pin (Molex) : x3,4-Pin (Floppy) : x1"
Stick USB A-DATA C008 64GB (Negru),35.95,,Stick USB,"Capacitate : 64GB,Compatibilitate : USB 2.0,LED : Nu,Windows : Windows 98 / 2000 / XP / Vista / 7,Apple : Da (Mac OS 9.0 +),Linux : Da (2.4+),Dimensiuni (LxlxG) : 5.96 x 1.95 x 0.95,Greutate (g) : 10,Culoare : Negru"
Stick USB A-DATA C008 32GB (Alb),23.88,,Stick USB,"Capacitate : 32GB,Compatibilitate : USB 2.0,Windows : Windows 98 / 2000 / XP / Vista / 7,Apple : Da (Mac OS 9.0 +),Linux : Da (2.4+),Dimensiuni (LxlxG) : 5.96 x 1.95 x 0.95,Greutate (g) : 10,Culoare : Alb"
UPS APC SMX750I 750VA / 600W,3032.99,,UPS,"Putere intrare (VA) : 750,Putere Iesire (W) : 600,Tensiune alimentare (V) : 230,Energie (J) : 645,Dimensiuni (mm) : 490 x 432 x 89.0,Greutate (kg) : 22.05,Culoare : Negru,Familie UPS : Smart-UPS,Nr. Prize : 8 x IEC 320 C13 10A"
Adaptor Gembird SATA - IDE bidirectional,39.48,,Periferice,Adaptor Gembird SATA - IDE bidirectional
Stick USB A-DATA C008 32GB (Negru),23.72,,Stick USB,"Capacitate : 32GB,Compatibilitate : USB 2.0,Windows : Windows 98 / 2000 / XP / Vista / 7,Apple : Da (Mac OS 9.0 +),Linux : Da (2.4+),Dimensiuni (LxlxG) : 5.96 x 1.95 x 0.95,Greutate (g) : 10,Culoare : Negru"
UPS APC Power Saving Pro BR1200GI 1200VA / 720W,1999.99,,UPS,"Putere intrare (VA) : 1200,Putere Iesire (W) : 720,Tensiune alimentare (V) : 230,Energie (J) : 310,Dimensiuni (mm) : 382 x 302 x 112,Greutate (kg) : 11.6,Culoare : Negru,Nr. Prize : 5 x IEC 320 C13 (Surge Protection) | 5 x IEC 320 (Battery Backup)"
Tastatura Thermaltake Tt eSPORTS MEKA G-Unit (Iluminata),642.99,, Tastaturi PC,"Tip produs : Tastatura,Conectivitate : Wired,Interfata tastatura : PS/2| USB,Iluminata : Da,Sistem de operare : Windows 7 | Windows Vista | Windows XP |MacOS X,Culoare : Negru,Dimensiuni (L x l x g)(mm) : 430 x 160 x 40"
